Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
23-03-2024,12:29:38,"""CNR5884300""",No Driver Found,"""CID1982111""",eBike,Palam Vihar,Jhilmil,5.6,10,2,Driver issue,2,Customer related issue,2,No proper reason,879,12.5,3.8,4,UPI
29-11-2024,18:01:39,"""CNR1326809""",Incomplete,"""CID4604802""",Go Sedan,Shastri Nagar,Gurgaon Sector 56,4.9,14,2,Driver issue,2,Customer related issue,2,Vehicle Breakdown,237,5.73,3.8,4,UPI
23-08-2024,08:56:10,"""CNR8494506""",Completed,"""CID9202816""",Auto,Khandsa,Malviya Nagar,13.4,25.8,0,NA,0,NA,2,No proper reason,627,13.58,4.9,4.9,Debit Card
21-10-2024,17:17:25,"""CNR8906825""",Completed,"""CID2610914""",Premier Sedan,Central Secretariat,Inderlok,13.1,28.5,0,NA,0,NA,2,No proper reason,416,34.02,4.6,5,UPI
16-09-2024,22:08:00,"""CNR1950162""",Completed,"""CID9933542""",Bike,Ghitorni Village,Khan Market,5.3,19.6,0,NA,0,NA,2,No proper reason,737,48.21,4.1,4.3,UPI
06-02-2024,09:44:56,"""CNR4096693""",Completed,"""CID4670564""",Auto,AIIMS,Narsinghpur,5.1,18.1,0,NA,0,NA,2,No proper reason,316,4.85,4.1,4.6,UPI
17-06-2024,15:45:58,"""CNR2002539""",Completed,"""CID6800553""",Go Mini,Vaishali,Punjabi Bagh,7.1,20.4,0,NA,0,NA,2,No proper reason,640,41.24,4,4.1,UPI
19-03-2024,17:37:37,"""CNR6568000""",Completed,"""CID8610436""",Auto,Mayur Vihar,Cyber Hub,12.1,16.5,0,NA,0,NA,2,No proper reason,136,6.56,4.4,4.2,UPI
14-09-2024,12:49:09,"""CNR4510807""",No Driver Found,"""CID7873618""",Go Sedan,Noida Sector 62,Noida Sector 18,5.6,10,0,NA,0,NA,2,No proper reason,879,12.5,3.8,4,UPI
16-12-2024,19:06:48,"""CNR7721892""",Incomplete,"""CID5214275""",Auto,Rohini,Adarsh Nagar,6.1,26,0,NA,0,NA,2,Other Issue,135,10.36,3.8,4,Cash
14-06-2024,16:24:12,"""CNR9070334""",Completed,"""CID6680340""",Auto,Udyog Bhawan,Dwarka Sector 21,7.7,18.9,2,Driver issue,2,Customer related issue,2,Other Issue,181,19.84,4.2,4.9,Cash
18-09-2024,08:09:38,"""CNR9551927""",No Driver Found,"""CID7568143""",Auto,Vidhan Sabha,AIIMS,5.6,10,2,Driver issue,2,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
25-06-2024,22:44:15,"""CNR4386945""",Cancelled by Driver,"""CID5543520""",eBike,Patel Chowk,Kherki Daula Toll,4.6,10,2,Driver issue,1,Personal & Car related issues,2,Other Issue,879,12.5,3.8,4,UPI
11-09-2024,19:29:39,"""CNR2987763""",Completed,"""CID2669710""",Go Mini,Malviya Nagar,Ghitorni Village,12.2,28.2,2,Driver issue,1,Customer related issue,2,Other Issue,394,21.44,4.1,4.7,UPI
18-10-2024,18:28:53,"""CNR8962232""",Completed,"""CID1789354""",Go Mini,Madipur,GTB Nagar,14,30.9,2,Driver issue,1,Customer related issue,2,Other Issue,836,39.55,4.7,4.4,UPI
07-06-2024,15:05:35,"""CNR2390352""",Completed,"""CID5432215""",Auto,Jama Masjid,Khan Market,8.5,36.9,2,Driver issue,1,Customer related issue,2,Other Issue,410,34.76,4,4.9,Uber Wallet
01-07-2024,10:51:16,"""CNR3221338""",Completed,"""CID2581698""",Premier Sedan,IGI Airport,Madipur,5.6,27.5,2,Driver issue,1,Customer related issue,2,Other Issue,401,21.97,4.9,4.3,UPI
15-12-2024,15:08:25,"""CNR6739317""",Cancelled by Driver,"""CID8682675""",Go Sedan,Vinobapuri,GTB Nagar,6,10,2,Driver issue,1,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
24-11-2024,09:07:10,"""CNR6126048""",Cancelled by Customer,"""CID1060329""",eBike,Kashmere Gate,Anand Vihar,12.4,10,2,Driver is not moving towards pickup location,1,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
24-05-2024,19:53:57,"""CNR9465840""",Cancelled by Driver,"""CID9046501""",eBike,Pitampura,Rajiv Nagar,10.3,10,2,Driver issue,1,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
14-12-2024,21:27:04,"""CNR9843229""",Completed,"""CID4929303""",Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,33.7,2,Driver issue,1,Customer related issue,2,Other Issue,264,13.64,3.8,4.7,Uber Wallet
29-07-2024,06:28:22,"""CNR7911434""",Completed,"""CID8465004""",Auto,Greater Noida,Botanical Garden,7,21.3,2,Driver issue,1,Customer related issue,2,Other Issue,183,4.5,5,4.2,UPI
23-02-2024,11:02:45,"""CNR6178330""",Completed,"""CID7719678""",Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,2,Driver issue,1,Customer related issue,2,Other Issue,713,38.03,3.7,3.6,UPI
09-03-2024,20:14:24,"""CNR5309981""",Completed,"""CID3870048""",Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,2,Driver issue,1,Customer related issue,2,Other Issue,113,14.53,4.6,4.9,UPI
28-08-2024,16:30:14,"""CNR2978950""",Completed,"""CID2977484""",Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,2,Driver issue,2,Customer related issue,2,Other Issue,767,7.39,3.8,4.6,Debit Card
08-08-2024,06:34:38,"""CNR2806943""",Completed,"""CID7550481""",Uber XL,Okhla,Barakhamba Road,5.1,20.7,2,Driver issue,2,Customer related issue,2,Other Issue,495,10.23,3.8,4.2,Credit Card
26-01-2024,09:44:00,"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,11.5,10,2,Driver issue,2,Personal & Car related issues,2,Other Issue,879,12.5,3.8,4,UPI
12-04-2024,19:42:35,"""CNR4499383""",No Driver Found,"""CID5717521""",Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,5.6,10,2,Driver issue,2,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
05-04-2024,18:57:12,"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,3.1,28.2,2,Driver issue,2,Customer related issue,2,Other Issue,304,1.98,3.8,4,UPI
03-11-2024,12:24:59,"""CNR8779845""",Completed,"""CID7444351""",Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,2,Driver issue,2,Customer related issue,2,Other Issue,2847,39.21,3.1,4.6,Debit Card
18-05-2024,17:37:52,"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,9.2,10,2,Driver issue,2,More than permitted people in there,2,Other Issue,879,12.5,3.8,4,UPI
15-11-2024,05:53:55,"""CNR3871541""",Completed,"""CID9849259""",Go Mini,Mundka,Preet Vihar,8.9,41,2,Driver issue,2,Customer related issue,2,Other Issue,282,8.36,3.8,4.4,UPI
04-02-2024,18:08:04,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,2,Driver issue,2,Customer related issue,2,Other Issue,656,6.39,5,4.9,Uber Wallet
29-05-2024,14:05:10,"""CNR9603633""",Completed,"""CID5856503""",Auto,Tis Hazari,Shahdara,2,19.4,2,Driver issue,2,Customer related issue,2,Other Issue,134,46.66,3.8,4.4,Credit Card
13-07-2024,19:53:15,"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,New Colony,Ghitorni Village,5.4,10,2,Driver issue,2,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
07-06-2024,19:21:10,"""CNR7823292""",Completed,"""CID9377721""",Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,2,Driver issue,2,Customer related issue,2,Other Issue,470,27.07,3.7,4.2,Cash
16-05-2024,13:04:31,"""CNR9918895""",Completed,"""CID9520433""",Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,2,Driver issue,2,Customer related issue,2,Other Issue,187,12.16,4.9,4.3,UPI
02-10-2024,03:10:35,"""CNR7401001""",Completed,"""CID9958715""",Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30,2,Driver issue,2,Customer related issue,2,Other Issue,186,10.28,4.4,4.6,UPI
26-02-2024,15:43:16,"""CNR2631310""",Completed,"""CID4355670""",eBike,Seelampur,Janakpuri,10,35.8,2,Driver issue,2,Customer related issue,2,Other Issue,70,44.42,4.1,4.4,UPI
10-09-2024,13:02:42,"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,11,10,2,Driver is not moving towards pickup location,2,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
12-09-2024,09:14:57,"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,8,10,2,Driver issue,2,Personal & Car related issues,2,Other Issue,879,12.5,3.8,4,UPI
24-01-2024,10:47:57,"""CNR5969954""",Completed,"""CID5558118""",Auto,Vinobapuri,Karkarduma,12.8,18.7,2,Driver issue,2,Customer related issue,2,Other Issue,273,34.64,4.5,4.6,Uber Wallet
12-02-2024,19:42:39,"""CNR4130953""",Incomplete,"""CID3196782""",Premier Sedan,Panipat,Tagore Garden,6.4,10.5,2,Driver issue,2,Customer related issue,2,Other Issue,966,18.3,3.8,4,Debit Card
02-10-2024,19:17:00,"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,5.4,10,2,Driver issue,2,More than permitted people in there,2,Other Issue,879,12.5,3.8,4,UPI
01-04-2024,21:14:19,"""CNR9572979""",Completed,"""CID3474992""",Go Sedan,Sultanpur,Noida Extension,12.2,42.3,2,Driver issue,2,Customer related issue,2,Other Issue,251,20.91,4.2,3.6,Debit Card
18-09-2024,21:06:36,"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,10,2,Driver issue,2,More than permitted people in there,2,Other Issue,879,12.5,3.8,4,UPI
02-08-2024,07:17:07,"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,11.3,10,2,Driver asked to cancel,2,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
30-09-2024,13:10:50,"""CNR4674790""",Incomplete,"""CID4795905""",Bike,Dilshad Garden,Nehru Place,2.3,29.7,2,Driver issue,2,Customer related issue,2,Other Issue,453,19.24,3.8,4,Debit Card
16-06-2024,00:44:47,"""CNR6866217""",Completed,"""CID7798304""",Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,2,Driver issue,2,Customer related issue,2,Other Issue,246,8.13,4.2,4.5,UPI
18-09-2024,09:33:55,"""CNR4932611""",Completed,"""CID8795963""",Auto,Aya Nagar,Karkarduma,8.8,25.2,2,Driver issue,2,Customer related issue,2,Other Issue,237,2.96,3.9,3.3,UPI
04-05-2024,21:26:59,"""CNR1572483""",Incomplete,"""CID6059557""",Go Mini,Rajiv Chowk,Central Secretariat,9.9,21.6,2,Driver issue,2,Customer related issue,2,Other Issue,1581,1.82,3.8,4,Cash
03-06-2024,18:14:47,"""CNR6945858""",Completed,"""CID9079088""",Go Mini,MG Road,Hauz Rani,4.1,25.1,2,Driver issue,2,Customer related issue,2,Other Issue,379,33.04,4.2,4.5,Uber Wallet
03-10-2024,22:20:34,"""CNR6584679""",Completed,"""CID4738537""",Go Mini,Jasola,Palam Vihar,11.2,40.7,2,Driver issue,2,Customer related issue,2,Other Issue,545,44.7,4.3,4.3,Cash
25-05-2024,11:24:29,"""CNR6125653""",Completed,"""CID2808212""",Go Mini,Kashmere Gate,RK Puram,3,35.4,2,Driver issue,2,Customer related issue,2,Other Issue,479,7.38,4.2,4.6,UPI
04-03-2024,17:46:46,"""CNR6092529""",Cancelled by Driver,"""CID5040634""",Go Sedan,Ardee City,Basai Dhankot,11.2,10,2,Driver issue,2,More than permitted people in there,2,Other Issue,879,12.5,3.8,4,UPI
10-11-2024,05:13:57,"""CNR6339107""",Completed,"""CID7358763""",Go Mini,Punjabi Bagh,Madipur,9.1,23.2,2,Driver issue,2,Customer related issue,2,Other Issue,647,24.93,4.3,4.7,Uber Wallet
11-09-2024,10:36:44,"""CNR1349015""",Cancelled by Driver,"""CID9386278""",Auto,Meerut,Badarpur,4.3,10,2,Driver issue,2,More than permitted people in there,2,Other Issue,879,12.5,3.8,4,UPI
11-04-2024,15:43:34,"""CNR9773309""",No Driver Found,"""CID9965847""",Uber XL,Anand Vihar ISBT,Dwarka Sector 21,5.6,10,2,Driver issue,2,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
01-06-2024,10:03:27,"""CNR2107544""",Completed,"""CID1266188""",Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,2,Driver issue,2,Customer related issue,2,Other Issue,125,25.16,4.3,5,Credit Card
09-05-2024,10:44:30,"""CNR4171959""",Cancelled by Driver,"""CID8470723""",Premier Sedan,Lajpat Nagar,Ramesh Nagar,6.3,10,2,Driver issue,2,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
30-07-2024,12:02:26,"""CNR5316307""",Completed,"""CID1816553""",Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,2,Driver issue,2,Customer related issue,2,Other Issue,375,48.85,3.3,3.3,Cash
25-02-2024,16:23:19,"""CNR3635865""",Completed,"""CID6477355""",Auto,Cyber Hub,Yamuna Bank,11.7,33,2,Driver issue,2,Customer related issue,2,Other Issue,310,24.41,4.6,3.8,Debit Card
09-02-2024,11:15:59,"""CNR2497989""",Cancelled by Customer,"""CID5007066""",Auto,Karkarduma,IGI Airport,16.6,10,2,Driver is not moving towards pickup location,2,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
02-03-2024,04:59:03,"""CNR8946337""",Cancelled by Driver,"""CID6438326""",Go Sedan,Shastri Nagar,New Colony,5.4,10,2,Driver issue,2,Customer related issue,2,Other Issue,879,12.5,3.8,4,UPI
27-08-2024,18:22:02,"""CNR3740694""",Incomplete,"""CID5885514""",Auto,Aya Nagar,Green Park,2.3,10.1,2,Driver issue,2,Customer related issue,2,Vehicle Breakdown,370,13.85,3.8,4,Cash
